,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
159,1.5,1.3,0.6,0.3,1.4,0.7,0.035,-,0.03,-,1.6,0.8,,,0.6,0.2,,,,,,,,,,,,,
160,0.65,0.35,2,-,1.3,-,0.04,-,0.03,-,19,13,69,64,,,,,,,,,,,,,,,
161,0.1,-,0.4,-,0.8,0.5,0.03,-,0.02,-,12.5,11.5,1.5,0.8,0.5,-,,,,,0.08,-,,,,,,,
162,1.35,0.75,0.9,0.3,14,11,0.06,-,0.04,-,,,,,1.2,0.9,,,,,,,,,,,,,
163,0.03,-,1,-,1.5,-,0.035,-,0.025,-,26.5,24.5,7,5,3.5,2.5,0.22,0.12,,,,,,,,,,,
164,0.04,-,0.8,-,1.5,-,0.03,-,0.01,-,13.5,11.5,5,3.5,1,0.4,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
165,0.03,-,1,-,1,-,0.035,-,0.025,-,27,25,8,6,5,3,0.22,0.12,,,0.08,-,,,,,,,
166,0.49,0.42,0.4,0.2,1.8,1.6,0.03,-,0.03,-,0.3,-,0.3,-,0.15,-,,,,,,,,,,,,,
167,1.7,1.5,0.6,0.3,1.3,0.8,0.035,-,0.03,-,2,0.8,-,0.2,0.6,0.2,,,,,,,,,,,,,
168,1.35,1.05,0.9,0.3,8,6,0.06,-,0.04,-,,,,,1.2,0.9,,,,,,,,,,,,,
169,0.06,-,1,-,1,-,0.035,-,0.025,-,13.5,12,5,3.5,0.7,-,,,,,0.08,-,,,,,,,
170,1.35,1.05,0.9,0.3,19,16,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
171,0.35,0.2,2.5,1,1,0.5,0.04,-,0.04,-,8,6,0.5,-,0.5,-,,,,,,,,,,,,,
172,0.3,-,0.5,-,0.9,-,0.04,-,0.04,-,0.35,-,0.3,-,0.2,-,,,,,,,,,,,,,
173,0.5,0.35,3,2,0.7,-,0.03,-,0.03,-,10,8,,,,,,,,,,,,,,,,,
174,0.24,0.16,1,-,0.6,-,0.035,-,0.025,-,14,11.5,,,,,,,,,,,,,,,,,
175,0.4,0.3,0.75,0.5,1.2,0.9,0.03,-,0.03,-,0.8,0.5,0.3,-,0.15,-,,,,,,,,,,,,,
176,2.1,1.9,0.8,0.3,1.2,0.8,0.035,-,0.03,-,2,0.6,2.5,0.6,0.8,0.2,,,,,,,,,,,,,
177,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
178,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,11,8,,,,,,,,,,,,,,,
179,1.4,1,0.8,0.3,14,11,0.09,-,0.04,-,,,,,,,,,,,,,,,,,,,
180,0.5,0.3,2.5,1,1,0.5,0.04,-,0.03,-,30,27,1,-,0.5,-,,,,,,,,,,,,,
181,0.6,-,0.5,-,0.9,-,0.04,-,0.04,-,0.35,-,0.3,-,0.2,-,,,,,,,,,,,,,
182,0.4,0.2,2,-,2,-,0.03,-,0.03,-,23,18,12,8,0.5,-,,,,,,,,,,,,,
183,0.06,-,1,-,1,-,0.035,-,0.025,-,13,12,5,3.5,0.7,-,,,,,,,,,,,,,
184,0.6,0.5,0.6,0.25,1.6,1.2,0.03,-,0.03,-,0.9,0.6,0.3,-,0.3,0.2,,,,,,,,,,,,,
185,1.7,1.5,1.5,0.8,1,0.6,0.035,-,0.03,-,1.5,0.5,1,0.2,0.8,0.2,,,,,,,,,,,,,
186,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,,,4,3,,,,,,,,,,,,,,,
187,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,2.5,2,,,,,,,,,,,,,
188,1.3,0.9,0.6,0.3,14,11,0.07,-,0.04,-,2.5,1.5,,,,,,,,,,,,,,,,,
189,0.35,0.15,2.5,1,2,-,0.04,-,0.03,-,19,17,10,8,0.5,-,,,,,,,,,,,,,
190,0.2,0.15,0.6,-,1.6,1,0.02,-,0.025,-,0.3,-,0.4,-,0.12,-,,,,,0.03,-,,,,,,,Cr+Ni+Cu+Mo+V≤1.00
191,0.2,-,2,-,1,-,0.03,-,0.03,-,28,24,6,4,,,0.5,-,,,,,,,,,,,
192,0.03,-,1.5,-,2,-,0.035,-,0.025,-,20,18,12,9,,,0.2,-,,,,,,,,,,,
193,0.2,0.12,0.6,-,0.8,0.5,0.03,-,0.03,-,1.5,1,0.3,-,0.65,0.45,,,,,,,,,,,,,
194,2.2,1.5,1,0.3,1.2,0.4,0.035,-,0.03,-,8,3,1.5,-,8,2,,,,,9,2,5,-,,,8,-,
195,1.35,1.05,0.9,0.3,19,16,0.06,-,0.04,-,2.5,1.5,,,,,,,,,,,,,,,,,
196,0.03,-,1,-,1.5,-,0.035,-,0.025,-,27,25,7,5,3.5,2.5,0.22,0.12,,,,,,,,,,,
197,0.5,0.25,2.5,1,2,-,0.04,-,0.03,-,25,23,25,23,0.5,-,,,,,,,1.8,1.2,,,,,
198,0.23,0.15,0.6,-,1,0.5,0.025,-,0.02,-,0.3,-,0.4,-,0.6,0.4,,,,,0.05,-,,,,,,,
199,0.45,0.35,1.75,-,1.5,-,0.03,-,0.03,-,27,23,22,19,0.5,-,,,,,,,,,,,,,
200,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,,,,,,,,,,,,,,,Nb：8C~1.00
201,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,23,21,11,9,0.5,-,,,,,,,,,,,,,
202,0.25,0.18,0.6,0.2,0.7,0.4,0.03,-,0.03,-,1.2,0.9,0.3,-,0.7,0.5,,,,,0.3,0.2,,,,,,,
