牌号,欧标钢号,对应标准,归类,性能,标签,说明,旧牌号,德国W-Nr.,美国UNS,其他名称
ZG03Cr14Ni14Si4,,GB /T 2100-2002 一般用途耐蚀钢铸件,铸钢,耐腐蚀,不锈钢铸件,,,,,
ZG40Ni35Cr26Si2Nb1,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG012Ni3,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG08Cr18Ni12Mo3Ti,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG08Cr18Ni12Mo2Ti,,,
ZG03Cr22Ni6Mo3N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG15Cr13,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG06Cr16Ni5Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG25Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AS70Ⅱ,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU70Mn2Mo,,,
ZNiCr28Fe17W5Si2C0.4,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG10Cr9MoV,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG120Mn13,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
ZG07Cr19Ni12Mo3,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG06Cr13Ni4Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG12Cr22Ni12,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG40Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD140,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,ZUB140CrMo,,,
ZNiFe18Cr15Si1C0.5,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG010Cr12Ni,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG110Mn13Mo,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,ZG110Mn13Mo1,,,
ZG03Cr26Ni6Mo3Cu3N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG04Cr13Ni4Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG03Cr26Ni7Mo4N,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG45Mn2,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD160Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,ZUB160CrNiMo,,,
ZG120Mn7Mo1,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG06Cr13Ni4,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG120Mn18,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,ZG120Mn17,,,
ZG30Cr7Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
RZG230-450,,JB /T 5100-1991 熔模铸造碳钢件 技术条件,铸钢,,,,,,,
ZG40Cr9Si3,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG40Cr9Si2,,,
ZG20Cr13,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG35CrMnSi,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD200,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,,,,
ZG120Mn13,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG07Cr19Ni10,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZGMn13-2,,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件,铸钢,,,适用普通件,,,,
ZG40Cr28Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
RZG340-640,,JB /T 5100-1991 熔模铸造碳钢件 技术条件,铸钢,,,,,,,
ZG30Cr21Ni10,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG30Cr20Ni10,,,
ZG06Cr13Ni4,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG55CrMnMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
GS160,,GB /T 1503-2008 铸钢轧辊,铸钢,,石墨钢,,,,,
ZG120Mn13Ni3,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG07Cr19Ni11Mo2,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZGMn13-5,,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件,铸钢,,,适用特殊耐磨件,,,,
ZG25Cr18Ni9Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG18,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG20Cr26Ni5,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,,,,
ZG03Cr19Ni11,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG15Cr1Mo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
HSS,,GB /T 1503-2008 铸钢轧辊,铸钢,,高速钢,,,,,
ZG120Mn17Cr2,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG03Cr26Ni6Mo3Cu3N,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG40Cr24Ni24Si2Nb,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG19Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG40Cr25Ni21,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG40Cr25Ni20,,,
ZG07Cr19Ni11Nb,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
GX40CrNiSi 22-10,1.4826,EN 10295-2002 耐热钢铸件,铸钢,,,,,,,
ZG20CrMoV,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG20Cr13,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG270-480H,,GB /T 7659-2010 焊接结构用铸钢件,铸钢,,,,,,,
AS40,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,,,,
ZG40Cr27Ni4Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG13MoCrV,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG30Ni35Cr15,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,,,,
ZG05Cr26Ni6Mo2N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
GX40CrNiSi 25-20,1.4848,EN 10295-2002 耐热钢铸件,铸钢,耐腐蚀,,,,,,
ZG50Cr1Mo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG04Cr13Ni4Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
GE200,1.042,EN 10293-2005 铸钢件,铸钢,,,,,,,
ZG20Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AS60Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,,,,
ZG40Ni35Cr17Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG26Ni2CrMo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG30Cr26Ni20,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG30Cr25Ni20,,,
ZG03Cr19Ni11Mo3,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG35NiCrMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG06Cr13Ni5Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
AS70,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU70Mn,,,
ZG40Ni38Cr19Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG012Ni4,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG100Mn13,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
